ID,Local Authority
1,West Dunbartonshire
2,East Dunbartonshire
3,North Lanarkshire
4,City of Glasgow
5,East Renfrewshire
6,Renfrewshire
7,Inverclyde
8,Clackmannanshire
9,Falkirk
10,West Lothian
11,City of Edinburgh
12,Midlothian
13,East Lothian
14,Scottish Borders
15,Dumfries and Galloway
16,South Ayrshire
17,East Ayrshire
18,North Ayrshire
19,South Lanarkshire
20,Argyll and Bute
21,Stirling
22,Fife
23,Perth and Kinross
24,Angus
25,City of Dundee
26,Aberdeen City
27,Aberdeenshire
28,Moray
29,Highland
30,Comhairle Nan Eilean Siar
31,Orkney
32,Shetland
33,rUK
